school_name,status,url_found,tables_saved,reason
Cypress College,Failure,https://www.cypresscollege.edu/financial-aid/financial-aid-scholarships/,0,Could not scrape any tables from the URL.
Seminole State College of Florida,Failure,https://www.seminolestate.edu/foundation/scholarships,0,Could not scrape any tables from the URL.
Indian River State College,Failure,https://irsc.edu/news/indian-river-state-college-foundation-opens-3-million-scholarship-opportunity-for-2026-2027-academic-year/,0,Could not scrape any tables from the URL.
Georgia Gwinnett College,Failure,https://www.ggc.edu/admission-aid/financial-aid/scholarships-and-grants,0,Could not scrape any tables from the URL.
Santa Fe College,Failure,https://www.sfcollege.edu/fa/scholarships/college-scholarships.html,0,Could not scrape any tables from the URL.
Front Range Community College,Failure,https://www.frontrange.edu/admissions-aid/paying-for-college/scholarships/index.html,0,Could not scrape any tables from the URL.
Delaware Technical Community College-Terry,Failure,https://www.dtcc.edu/admissions-financial-aid/financial-aid-scholarships/types-aid/scholarships/,0,Could not scrape any tables from the URL.
Foothill College,Failure,https://foothill.edu/financialaid/programs/scholarships.html,0,Could not scrape any tables from the URL.
Antelope Valley Community College District,Partial Success,http://www.avc.edu/financial-aid-scholarships/types-financial-aid/scholarships,0,"URL scraped, but no suitable tables found."
Florida SouthWestern State College,Failure,https://www.fsw.edu/financialaid/scholarships,0,Could not scrape any tables from the URL.
MiraCosta College,Failure,https://www.miracosta.edu/student-services/financial-aid/types-of-aid/scholarships/mcc-scholarships.html,0,Could not scrape any tables from the URL.
Tallahassee State College,Success,https://www.tsc.fl.edu/admissions/financial-aid/scholarships/,10,Saved 10 valid tables.
Eastern Florida State College,Success,https://www.easternflorida.edu/financial-aid/types-of-aid/scholarships.php,2,Saved 2 valid tables.
Daytona State College,Failure,https://www.daytonastate.edu/scholarships/index.html,0,Could not scrape any tables from the URL.
Pikes Peak State College,Failure,https://www.pikespeak.edu/costs-scholarships-aid/scholarships/index.php,0,Could not scrape any tables from the URL.
Tyler Junior College,Failure,https://tjc.edu/scholarships/,0,Could not scrape any tables from the URL.
Del Mar College,Failure,https://www.delmar.edu/foundation/scholarships/,0,Could not scrape any tables from the URL.
Henry Ford College,Failure,https://www.hfcc.edu/payment/scholarships,0,Could not scrape any tables from the URL.
Greenville Technical College,Failure,https://www.gvltec.edu/admissions_aid/financial_aid/scholarships/index.html,0,Could not scrape any tables from the URL.
Bryant & Stratton College-Online,Failure,https://www.bryantstratton.edu/financial-aid/scholarships/,0,Could not scrape any tables from the URL.
Solano Community College,Failure,https://solano.edu/financial-aid/available-programs/scholarships.php,0,Could not scrape any tables from the URL.
West Los Angeles College,Failure,https://www.wlac.edu/about/foundation/scholarships,0,Could not scrape any tables from the URL.
State College of Florida-Manatee-Sarasota,Success,https://www.scf.edu/paying-for-college/financial-aid/scholarships/,1,Saved 1 valid tables.
Skyline College,Success,https://www.skylinecollege.edu/financialaid/scholarships.php,1,Saved 1 valid tables.
Pasco-Hernando State College,Failure,https://financial-aid.phsc.edu/resources/faq/top-10-academic-merit-scholarship-enrollment-requirement,0,Could not scrape any tables from the URL.
Bellevue College,Failure,https://www.bellevuecollege.edu/foundation/scholarships/,0,Could not scrape any tables from the URL.
Truckee Meadows Community College,Failure,https://www.tmcc.edu/financial-aid/scholarships,0,Could not scrape any tables from the URL.
Pensacola State College,Partial Success,https://financialaid.pensacolastate.edu/scholarships/,0,"URL scraped, but no suitable tables found."
Schoolcraft Community College District,Failure,https://www.schoolcraft.edu/aid/types-of-aid/scholarships/,0,Could not scrape any tables from the URL.
Ensign College,Failure,https://www.ensign.edu/scholarships/academic-merit-scholarship,0,Could not scrape any tables from the URL.
Polk State College,Failure,https://www.polk.edu/news/apply-now-for-a-polk-state-merit-scholarship/,0,Could not scrape any tables from the URL.
Los Angeles Film School,Failure,https://www.lafilm.edu/admissions/scholarships-and-grants/,0,Could not scrape any tables from the URL.
Shasta College,Success,https://www.shastacollege.edu/cost-financial-aid/types-of-financial-aid/scholarships/,1,Saved 1 valid tables.
Lorain County Community College,Failure,https://www.lorainccc.edu/paying-for-college/scholarship-programs/,0,Could not scrape any tables from the URL.
Arapahoe Community College,Failure,https://www.arapahoe.edu/admissions/paying-college/scholarships,0,Could not scrape any tables from the URL.
Cincinnati State Technical and Community College,Failure,https://www.cincinnatistate.edu/financial-aid-types/scholarships/,0,Could not scrape any tables from the URL.
Community College of Denver,Failure,https://www.ccd.edu/financial-aid-scholarships,0,Could not scrape any tables from the URL.
Laredo College,Failure,https://catalog.laredo.edu/financial-aid/scholarships/,0,Could not scrape any tables from the URL.
Midland College,Failure,https://www.midland.edu/enrollment-aid/paying-college/scholarships/general.php,0,Could not scrape any tables from the URL.
Trinity Valley Community College,Failure,https://catalog.tvcc.edu/studentresources/payingforcollege/scholarships,0,Could not scrape any tables from the URL.
College of Central Florida,Failure,https://helpschooling.com/ucf-scholarships-program-2026-2027-complete-gu/,0,Could not scrape any tables from the URL.
Unitek College,Failure,https://www.campusreel.org/scholarships/by-colleges/unitek-college,0,Could not scrape any tables from the URL.
Clark College,Failure,https://www.clark.edu/enroll/paying-for-college/scholarships/,0,Could not scrape any tables from the URL.
University of Florida-Online,Failure,https://admissions.ufl.edu/cost-and-aid/scholarships,0,Could not scrape any tables from the URL.
Green River College,Failure,https://www.greenrivercollegefoundation.org/applynow,0,Could not scrape any tables from the URL.
Pierce College District,Failure,https://www.pierce.ctc.edu/pay-college/scholarships-grants/foundation.html,0,Could not scrape any tables from the URL.
United States Naval Academy,Failure,"https://www.usna.edu/PermitToReport/_files/documents/2025/V.1.B._Scholarship_Money,_and_Personal_Charitable_Donations.pdf",0,Could not scrape any tables from the URL.
Georgia Highlands College,Partial Success,https://sites.highlands.edu/financial-aid/scholarships/,0,"URL scraped, but no suitable tables found."
United States Military Academy,Failure,https://www.westpoint.edu/academics/scholars-program,0,Could not scrape any tables from the URL.
Dalton State College,Failure,https://www.daltonstate.edu/admissions/financial-aid/scholarships/dalton-state-foundation-scholarships/,0,Could not scrape any tables from the URL.
Louisiana State University-Alexandria,Success,https://www.lsua.edu/admissions/scholarships/,1,Saved 1 valid tables.
Tacoma Community College,Failure,https://www.tacomacc.edu/about/foundation/foundation-scholarships,0,Could not scrape any tables from the URL.
Columbia Basin College,Failure,https://www.columbiabasin.edu/connect/foundation/foundation-scholarships/index.html,0,Could not scrape any tables from the URL.
Odessa College,Success,https://www.odessa.edu/enrollment-aid/financial-aid/scholarships.html,2,Saved 2 valid tables.
United States Air Force Academy,Failure,https://afas.org/afas-merit-scholarship/,0,Could not scrape any tables from the URL.
Spokane Community College,Failure,https://ccsfoundation.org/Students/How-to-Apply,0,Could not scrape any tables from the URL.
University of Cincinnati-Blue Ash College,Failure,https://www.ucblueash.edu/admissions/financial/achievement.html,0,Could not scrape any tables from the URL.
Weatherford College,Failure,https://wc.edu/paying-for-weatherford/scholarship-opportunities/index.php,0,Could not scrape any tables from the URL.
Georgia Military College,Failure,https://www.gmc.edu/scholarships/,0,Could not scrape any tables from the URL.
Saint Johns River State College,Partial Success,https://www.sjrstate.edu/scholarships,0,"URL scraped, but no suitable tables found."
Seattle Central College,Failure,https://seattlecentral.edu/scholarships,0,Could not scrape any tables from the URL.
The College of Health Care Professions-Northwest,Failure,https://www.chcp.edu/tuition-financial-aid/financial-aid/scholarships-grants/,0,Could not scrape any tables from the URL.
Vincennes University,Failure,https://www.vinu.edu/financial-services/scholarships.html,0,Could not scrape any tables from the URL.
Spelman College,Failure,https://www.spelman.edu/_1_Docs-and-Files/admissions/fall-2026-next-steps-enrollment-guide.pdf,0,Could not scrape any tables from the URL.
Gulf Coast State College,Failure,https://www.gulfcoast.edu/tuition-aid/financial-aid/grants-and-scholarships/index.html,0,Could not scrape any tables from the URL.
Lake-Sumter State College,Failure,https://www.lssc.edu/dept/foundation/scholarships/,0,Could not scrape any tables from the URL.
Jackson College,Failure,https://www.jccmi.edu/cost-aid/financial-aid/scholarships/,0,Could not scrape any tables from the URL.
Snow College,Failure,https://catalog.snow.edu/financial-aid-scholarships/scholarships/,0,Could not scrape any tables from the URL.
SUNY College of Technology at Alfred,Success,https://www.alfredstate.edu/cost-aid/scholarships/asc-merit-scholarships,2,Saved 2 valid tables.
Highline College,Success,https://www.highline.edu/fund-your-education/financialaid/types/scholarships.html,1,Saved 1 valid tables.
College of Southern Idaho,Failure,https://www.csi.edu/financial-aid/scholarships/csi-scholarships.aspx,0,Could not scrape any tables from the URL.
Oklahoma State University-Oklahoma City,Failure,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/,0,Could not scrape any tables from the URL.
CUNY Medgar Evers College,Failure,https://www.mec.cuny.edu/financial-aid/scholarships/,0,Could not scrape any tables from the URL.
Edmonds College,Failure,https://www.edmonds.edu/about-edmonds/foundation/scholarships/,0,Could not scrape any tables from the URL.
College of the Mainland,Failure,https://www.com.edu/paying-for-college/scholarships.html,0,Could not scrape any tables from the URL.
Pueblo Community College,Failure,https://pueblocc.edu/scholarships,0,Could not scrape any tables from the URL.
Hope College,Success,https://hope.edu/admissions/scholarships.html,1,Saved 1 valid tables.
Olympic College,Failure,http://www.olympic.edu/fund-your-education/scholarships,0,Could not scrape any tables from the URL.
Barnard College,Success,https://barnard.edu/finaid/general-policies,1,Saved 1 valid tables.
Abraham Baldwin Agricultural College,Failure,https://www.abac.edu/admissions/abac-scholarships.html,0,Could not scrape any tables from the URL.
Galen College of Nursing-San Antonio,Failure,https://galencollege.edu/get-started/paying-for-college/scholarships,0,Could not scrape any tables from the URL.
Northwest Florida State College,Failure,https://www.nwfsc.edu/scholarships/,0,Could not scrape any tables from the URL.
Clark State College,Failure,https://www.clarkstate.edu/financial-aid/scholarships/,0,Could not scrape any tables from the URL.
Pennsylvania State University-Penn State Abington,Failure,https://www.abington.psu.edu/tuition-financial-aid/merit-scholarships-first-year-students,0,Could not scrape any tables from the URL.
St Olaf College,Failure,https://wp.stolaf.edu/financialaid/merit-scholarships/,0,Could not scrape any tables from the URL.
Rasmussen University-Florida,Failure,https://guides.rasmussen.edu/borrowing,0,Could not scrape any tables from the URL.
College of the Holy Cross,Failure,https://www.holycross.edu/admissions-aid/tuition-financial-aid/scholarships-grants,0,Could not scrape any tables from the URL.
University of Puerto Rico-Bayamon,Failure,https://faci.uprrp.edu/wp-content/uploads/2026/01/SELF-STUDY-ACEJMC-2025-University-of-Puerto-Rico-Rio-Piedras.pdf,0,Could not scrape any tables from the URL.
Grayson College,Partial Success,https://www.grayson.edu/scholarships/index.html,0,"URL scraped, but no suitable tables found."
Spokane Falls Community College,Failure,https://ccsfoundation.org/Students/How-to-Apply,0,Could not scrape any tables from the URL.
Gurnick Academy of Medical Arts,Failure,https://www.gurnick.edu/scholarships-to-go-back-to-school-part-one/,0,Could not scrape any tables from the URL.
Brazosport College,Partial Success,https://www.brazosport.edu/scholarships/,0,"URL scraped, but no suitable tables found."
Colorado Mountain College,Failure,https://coloradomtn.edu/scholarships/,0,Could not scrape any tables from the URL.
Brigham Young University-Hawaii,Failure,https://financialaid.byuh.edu/scholarships,0,Could not scrape any tables from the URL.
College of Coastal Georgia,Failure,https://www.ccga.edu/admissions/financialaid/scholarships/,0,Could not scrape any tables from the URL.
North Seattle College,Failure,https://northseattle.edu/scholarships,0,Could not scrape any tables from the URL.
University of North Carolina Asheville,Failure,https://www.unca.edu/admission/financial-aid/types-of-aid/scholarships/,0,Could not scrape any tables from the URL.
University of Puerto Rico-Arecibo,Failure,https://faci.uprrp.edu/wp-content/uploads/2026/01/SELF-STUDY-ACEJMC-2025-University-of-Puerto-Rico-Rio-Piedras.pdf,0,Could not scrape any tables from the URL.
SUNY College of Technology at Canton,Failure,https://www.canton.edu/admissions/scholarships.html,0,Could not scrape any tables from the URL.
Skidmore College,Failure,https://www.skidmore.edu/precollege/tuition.php,0,Could not scrape any tables from the URL.
Lafayette College,Failure,https://admissions.lafayette.edu/scholarships/,0,Could not scrape any tables from the URL.
Morehouse College,Failure,https://morehouse.edu/aid/financial-aid/scholarships,0,Could not scrape any tables from the URL.
Uta Mesivta of Kiryas Joel,Failure,http://utamesivta.org/Docs/Catalog.pdf,0,Could not scrape any tables from the URL.
West Coast University-Los Angeles,Failure,https://westcoastuniversity.edu/tuition-financial-aid/scholarships-grants,0,Could not scrape any tables from the URL.
Northwestern Michigan College,Failure,https://www.nmc.edu/financial-aid/scholarships.html,0,Could not scrape any tables from the URL.
West Coast University-Ontario,Failure,https://westcoastuniversity.edu/tuition-financial-aid/scholarships-grants,0,Could not scrape any tables from the URL.
Bismarck State College,Failure,https://bismarckstate.edu/admissions/payingforcollege/scholarships/,0,Could not scrape any tables from the URL.
Kent State University at Stark,Failure,https://www.kent.edu/stark/first-year-scholarships,0,Could not scrape any tables from the URL.
University of Cincinnati-Clermont College,Failure,https://www.ucclermont.edu/admissions/financial-aid/scholarships/merit-scholarship.html,0,Could not scrape any tables from the URL.
Gordon State College,Partial Success,https://www.gordonstate.edu/alumni/give-to-gordon/gordon-college-foundation/fnd-scholarships/index.html,0,"URL scraped, but no suitable tables found."
Skagit Valley College,Partial Success,https://www.skagit.edu/campus-life/scholarships.html,0,"URL scraped, but no suitable tables found."
Laramie County Community College,Failure,https://www.lccc.wy.edu/highschool/gearup/scholarships.aspx,0,Could not scrape any tables from the URL.
University of Puerto Rico-Humacao,Failure,https://www.uprh.edu/wp-content/uploads/sites/6/2025/01/20242025Catalog.pdf,0,Could not scrape any tables from the URL.
Yakima Valley College,Failure,https://yvcc.edu/news/academic-year/2025-2026/foundation-scholarship-applications-2026-27.php,0,Could not scrape any tables from the URL.
University of Hawaii-West Oahu,Failure,https://westoahu.hawaii.edu/financial-aid/grants-and-scholarships/,0,Could not scrape any tables from the URL.
Indiana Institute of Technology-College of Professional Studies,Success,https://financialservices.indianatech.edu/scholarships/undergrad/,1,Saved 1 valid tables.
Vassar College,Failure,https://offices.vassar.edu/student-financial-services/types-of-aid/grants-scholarships/,0,Could not scrape any tables from the URL.
Clover Park Technical College,Success,https://www.cptc.edu/foundation/cptc-foundation-scholarships,2,Saved 2 valid tables.
Chamberlain University-Texas,Failure,https://www.chamberlain.edu/admissions/financial-aid-scholarships/scholarships,0,Could not scrape any tables from the URL.
Pennsylvania State University-Penn State Altoona,Failure,https://altoona.psu.edu/tuition-financial-aid/scholarships-awards/penn-state-altoona-scholarships,0,Could not scrape any tables from the URL.
Denison University,Success,https://denison.edu/campus/finances/types-of-scholarships-aid,1,Saved 1 valid tables.
Walla Walla Community College,Failure,https://www.wwcc.edu/paying-for-college/scholarships/,0,Could not scrape any tables from the URL.
University of Puerto Rico-Carolina,Failure,https://academicos.uprrp.edu/wp-content/uploads/2025/03/Middle-State-Commission-Self-study-report-UPRRP-FEB24-2025-2-1.pdf,0,Could not scrape any tables from the URL.
Wellesley College,Failure,https://theswellesleyreport.com/2026/01/scholarship-deadlines-for-wellesley-students-coming-up/,0,Could not scrape any tables from the URL.
Ohio State University-Newark Campus,Failure,https://undergrad.osu.edu/cost-and-aid/merit-based-scholarships,0,Could not scrape any tables from the URL.
Colby College,Failure,https://afa.colby.edu/apply/applying-for-aid/,0,Could not scrape any tables from the URL.
Whatcom Community College,Failure,https://www.whatcom.edu/about-wcc/foundation/about-us/what-we-do/scholarships,0,Could not scrape any tables from the URL.
Charter College,Failure,https://www.campusreel.org/scholarships/by-colleges/charter-college,0,Could not scrape any tables from the URL.
University of Puerto Rico at Ponce,Failure,https://scholarshipsandgrants.us/list/others/puerto-rico/,0,Could not scrape any tables from the URL.
San Joaquin Valley College-Visalia,Failure,https://www.sjvc.edu/financial-aid/,0,Could not scrape any tables from the URL.
Florida Gateway College,Failure,https://www.facebook.com/FloridaGatewayCollege/posts/-the-2026-board-of-trustees-scholarship-application-is-now-openare-you-a-high-sc/1396616165802412/,0,Could not scrape any tables from the URL.
Smith Chason College,Success,https://smithchason.edu/admissions/,3,Saved 3 valid tables.
University of Puerto Rico at Cayey,Success,https://www.fastweb.com/directory/college/university-of-puerto-rico-cayey-scholarships,1,Saved 1 valid tables.
Lake Washington Institute of Technology,Failure,https://www.lwtech.edu/foundation/scholarships/index.aspx,0,Could not scrape any tables from the URL.
Macalester College,Failure,https://www.macalester.edu/financial-aid/about/merit-2/,0,Could not scrape any tables from the URL.
Oklahoma State University Institute of Technology,Failure,https://go.okstate.edu/scholarships-financial-aid/types-of-aid/scholarships-and-grants/freshman-scholarships/,0,Could not scrape any tables from the URL.
Quincy College,Failure,https://www.quincy.edu/admissions/financial-aid-and-tuition/scholarships/academic/,0,Could not scrape any tables from the URL.
South Florida State College,Failure,https://www.usf.edu/admissions/freshmen/admissions-scholarships/,0,Could not scrape any tables from the URL.
Bryan University,Failure,https://bryanu.edu/resources/financial-assistance,0,Could not scrape any tables from the URL.
Union College,Partial Success,https://www.union.edu/financial-aid-family-financing/types-aid/scholarships-and-grants,0,"URL scraped, but no suitable tables found."
Hamilton College,Failure,https://www.hamilton.edu/admission/finaid/scholarships,0,Could not scrape any tables from the URL.
Miami University-Hamilton,Failure,https://miamioh.edu/admission-aid/costs-financial-aid/scholarships.html,0,Could not scrape any tables from the URL.
Carleton College,Failure,https://www.carleton.edu/financial-aid/types-of-aid/grant-and-scholarships/,0,Could not scrape any tables from the URL.
United Talmudical Seminary,Success,https://www.fastweb.com/directory/college/united-talmudical-seminary-scholarships,1,Saved 1 valid tables.
Eckerd College,Success,https://www.eckerd.edu/admissions/financial-aid/types/,1,Saved 1 valid tables.
Western Nevada College,Failure,https://wnc.edu/news/foundation-scholarship-application-2026-27.php,0,Could not scrape any tables from the URL.
Connecticut College,Failure,https://www.conncoll.edu/admission/scholarships-and-grants/,0,Could not scrape any tables from the URL.
University of Pittsburgh-Johnstown,Failure,https://www.johnstown.pitt.edu/financial-aid/student-financial-aid-and-scholarships,0,Could not scrape any tables from the URL.
Gustavus Adolphus College,Failure,https://gustavus.edu/admission-aid/tuition-and-aid/scholarships,0,Could not scrape any tables from the URL.
Amherst College,Failure,https://www.amherst.edu/offices/financialaid/frequently-asked-questions,0,Could not scrape any tables from the URL.
Franklin and Marshall College,Failure,https://www.fandm.edu/scholarships/,0,Could not scrape any tables from the URL.
Davidson College,Failure,https://www.davidson.edu/admission-and-financial-aid/financial-aid/types-financial-aid/scholarships,0,Could not scrape any tables from the URL.
Pennsylvania State University-Penn State Berks,Failure,https://berks.psu.edu/tuition-and-financial-aid/financial-aid/scholarships-and-awards,0,Could not scrape any tables from the URL.
The College of Wooster,Failure,https://wooster.edu/admissions/afford/merit-scholarships/,0,Could not scrape any tables from the URL.
Wofford College,Failure,https://www.wofford.edu/admission/scholarships/merit-based-scholarships,0,Could not scrape any tables from the URL.
SUNY Morrisville,Failure,https://www.morrisville.edu/scholarships,0,Could not scrape any tables from the URL.
Great Basin College,Failure,https://www.gbcnv.edu/financial/scholarships.html,0,Could not scrape any tables from the URL.
University of Puerto Rico-Aguadilla,Failure,https://www.fastweb.com/directory/college/university-of-puerto-rico-aguadilla-scholarships,0,Could not scrape any tables from the URL.
Bowdoin College,Failure,https://www.bowdoin.edu/student-aid/types-of-aid/grants.html,0,Could not scrape any tables from the URL.
Occidental College,Failure,https://www.oxy.edu/financial-aid/how-financial-aid-works/grants-scholarships,0,Could not scrape any tables from the URL.
Lackawanna College,Failure,https://www.lackawanna.edu/financial-aid/scholarships/,0,Could not scrape any tables from the URL.
Southwest University at El Paso,Failure,https://www.southwestern.edu/scholarships-financial-aid/scholarships/,0,Could not scrape any tables from the URL.
DePauw University,Failure,https://www.depauw.edu/admission-aid/scholarships-aid/types-of-aid/scholarships/,0,Could not scrape any tables from the URL.
Roanoke College,Failure,https://www.roanoke.edu/merit,0,Could not scrape any tables from the URL.
SAE Institute of Technology-Nashville,Failure,https://www.sae.org/scholarships,0,Could not scrape any tables from the URL.
SUNY College of Agriculture and Technology at Cobleskill,Failure,https://www.cobleskill.edu/admissions/financial-aid/scholarships.aspx,0,Could not scrape any tables from the URL.
Wenatchee Valley College,Failure,https://www.wvc.edu/apply/pay/financial-aid/scholarships.html,0,Could not scrape any tables from the URL.
Bates College,Failure,https://www.bates.edu/financial-services/types-of-aid/grants/,0,Could not scrape any tables from the URL.
Kenyon College,Failure,https://www.kenyon.edu/admissions-aid/financial-aid-scholarships/scholarships-grants/,0,Could not scrape any tables from the URL.
Wheaton College (Massachusetts),Failure,https://wheatoncollege.edu/admission/scholarships/merit-scholarships/,0,Could not scrape any tables from the URL.
Lower Columbia College,Failure,https://lowercolumbia.edu/pay-for-college/scholarships/,0,Could not scrape any tables from the URL.
College of Micronesia-FSM,Failure,https://www.comfsm.edu.fm/scholarship-opportunities/,0,Could not scrape any tables from the URL.
Ringling College of Art and Design,Success,https://www.ringling.edu/admissions/financial-aid-and-tuition/financial-aid-opportunities/scholarships-and-grants/,1,Saved 1 valid tables.
Grinnell College,Failure,https://www.grinnell.edu/admission/financial-aid/types-aid/scholarships,0,Could not scrape any tables from the URL.
Ranken Technical College,Failure,https://ranken.edu/wp-content/uploads/2025/06/Guide-2025-2026.pdf,0,Could not scrape any tables from the URL.
West Virginia University at Parkersburg,Success,https://www.wvu.edu/admissions/scholarships/first-time-freshmen/,1,Saved 1 valid tables.
University of Minnesota-Crookston,Success,https://onestop.crk.umn.edu/finances/types-financial-aid/scholarships,2,Saved 2 valid tables.
Kent State University at Trumbull,Failure,https://www.kent.edu/node/746656,0,Could not scrape any tables from the URL.
Pomona College,Failure,https://www.pomona.edu/financial-aid/policies/endowed-scholarships,0,Could not scrape any tables from the URL.
University of Hawaii Maui College,Success,https://manoa.hawaii.edu/fas/types-of-aid/scholarships/academic-merit-scholarships/,1,Saved 1 valid tables.
Marymount Manhattan College,Failure,https://www.mmm.edu/admissions-and-aid/first-year-student-scholarships/,0,Could not scrape any tables from the URL.
Swarthmore College,Failure,https://www.swarthmore.edu/financial-aid/scholarships-grants,0,Could not scrape any tables from the URL.
Galen College of Nursing-Tampa Bay,Partial Success,https://galencollege.edu/get-started/paying-for-college/scholarships,0,"URL scraped, but no suitable tables found."
Chamberlain University-Georgia,Failure,https://www.chamberlain.edu/admissions/financial-aid-scholarships/scholarships,0,Could not scrape any tables from the URL.
Feather River Community College District,Success,https://www.frc.edu/financialaid/foundation-scholarships,1,Saved 1 valid tables.
Illinois Wesleyan University,Partial Success,https://www.iwu.edu/financial-aid/scholarships-grants.html,0,"URL scraped, but no suitable tables found."
Virginia Military Institute,Partial Success,https://www.vmi.edu/about/offices-a-z/financial-aid/types-of-aid/merit-scholarships/,0,"URL scraped, but no suitable tables found."
South Georgia State College,Success,https://www.sgsc.edu/afford/financial-aid-programs,5,Saved 5 valid tables.
Kent State University at Geauga,Failure,https://www.kent.edu/node/746656,0,Could not scrape any tables from the URL.
Renton Technical College,Failure,https://rtc.edu/paying-for-college/financial-aid/scholarships-resources.php,0,Could not scrape any tables from the URL.
Galveston College,Failure,https://gc.edu/financial-aid/available-aid/scholarships/galveston-college-scholarships.php,0,Could not scrape any tables from the URL.
Bellingham Technical College,Failure,https://www.btc.edu/AboutBTC/BTCFoundation/Scholarships.html,0,Could not scrape any tables from the URL.
Whitman College,Failure,https://www.whitman.edu/admission-and-aid/financial-aid-and-costs/merit-talent-and-passion-scholarships,0,Could not scrape any tables from the URL.
Berkeley College-New York,Success,https://berkeleycollege.edu/catalogs/undergraduate-2025-2026/financial-aid/grants-scholarships-fall-2022-and-later/index.html,6,Saved 6 valid tables.
Dine College,Failure,https://www.dinecollege.edu/admissions/scholarships/,0,Could not scrape any tables from the URL.
Kent State University at Tuscarawas,Failure,https://www.kent.edu/node/746656,0,Could not scrape any tables from the URL.
South Seattle College,Failure,https://southseattle.edu/financial-aid/scholarships,0,Could not scrape any tables from the URL.
Randolph-Macon College,Failure,https://www.rmc.edu/admissions-and-aid/tuition-and-aid/scholarships-and-grants/,0,Could not scrape any tables from the URL.
Ursinus College,Failure,https://www.ursinus.edu/offices/student-financial-services/scholarship-opportunities/ursinus-offers-merit-scholarships/,0,Could not scrape any tables from the URL.
Centralia College,Failure,https://www.centralia.edu/funding/scholarships.aspx,0,Could not scrape any tables from the URL.
Berea College,Failure,https://www.berea.edu/academics/departments-programs/studies-of-religion-and-spirituality/rel-department-pages/scholarships-and-awards/,0,Could not scrape any tables from the URL.
Luther College,Success,https://www.luther.edu/admission-aid/cost-financial-aid/scholarships,1,Saved 1 valid tables.
Southwestern University,Failure,https://www.southwestern.edu/scholarships-financial-aid/scholarships/,0,Could not scrape any tables from the URL.
Ohio Wesleyan University,Failure,https://www.owu.edu/admission/financial-aid-scholarships-tuition/first-year-students/merit-scholarships-awards/,0,Could not scrape any tables from the URL.
Oglethorpe University,Failure,https://oglethorpe.edu/admission/financial-aid/types-of-aid/,0,Could not scrape any tables from the URL.
Haverford College,Failure,https://www.haverford.edu/financial-aid/frequently-asked-questions,0,Could not scrape any tables from the URL.
Dunwoody College of Technology,Failure,https://dunwoody.edu/admission-aid/scholarships/,0,Could not scrape any tables from the URL.
College of the Ozarks,Failure,https://www.cofo.edu/Admissions/Cost-Financial-Aid/Scholarships,0,Could not scrape any tables from the URL.
CBD College,Failure,https://www.cbd.edu/financial-aid/,0,Could not scrape any tables from the URL.
