Bullet,name,award,deadline,Link,Unnamed: 5
"Description The SAAAI Annual Scholarship is available to undergraduate and graduate students. You must be pursuing a degree in engineering, architecture, land survey, or technology at a New York Metropolitan area institution to be eligible for this award. View Scholarship Details","Description The SAAAI Annual Scholarship is available to undergraduate and graduate students. You must be pursuing a degree in engineering, architecture, land survey, or technology at a New York Metropolitan area institution to be eligible for this award. View Scholarship Details","Description The SAAAI Annual Scholarship is available to undergraduate and graduate students. You must be pursuing a degree in engineering, architecture, land survey, or technology at a New York Metropolitan area institution to be eligible for this award. View Scholarship Details","Description The SAAAI Annual Scholarship is available to undergraduate and graduate students. You must be pursuing a degree in engineering, architecture, land survey, or technology at a New York Metropolitan area institution to be eligible for this award. View Scholarship Details","Description The SAAAI Annual Scholarship is available to undergraduate and graduate students. You must be pursuing a degree in engineering, architecture, land survey, or technology at a New York Metropolitan area institution to be eligible for this award. View Scholarship Details",
,"SAAAI Annual Scholarship South Asian American Association, Inc.","SAAAI Annual Scholarship South Asian American Association, Inc.","SAAAI Annual Scholarship South Asian American Association, Inc.","SAAAI Annual Scholarship South Asian American Association, Inc.","SAAAI Annual Scholarship South Asian American Association, Inc."
,"award $6,000","award $6,000",deadline Varies,deadline Varies,deadline Varies
,See Details,See Details,See Details,See Details,See Details
"Description The SAAAI Annual Scholarship is available to undergraduate and graduate students. You must be pursuing a degree in engineering, architecture, land survey, or technology at a New York Metropolitan area institution to be eligible for this award. View Scholarship Details","Description The SAAAI Annual Scholarship is available to undergraduate and graduate students. You must be pursuing a degree in engineering, architecture, land survey, or technology at a New York Metropolitan area institution to be eligible for this award. View Scholarship Details","Description The SAAAI Annual Scholarship is available to undergraduate and graduate students. You must be pursuing a degree in engineering, architecture, land survey, or technology at a New York Metropolitan area institution to be eligible for this award. View Scholarship Details","Description The SAAAI Annual Scholarship is available to undergraduate and graduate students. You must be pursuing a degree in engineering, architecture, land survey, or technology at a New York Metropolitan area institution to be eligible for this award. View Scholarship Details","Description The SAAAI Annual Scholarship is available to undergraduate and graduate students. You must be pursuing a degree in engineering, architecture, land survey, or technology at a New York Metropolitan area institution to be eligible for this award. View Scholarship Details","Description The SAAAI Annual Scholarship is available to undergraduate and graduate students. You must be pursuing a degree in engineering, architecture, land survey, or technology at a New York Metropolitan area institution to be eligible for this award. View Scholarship Details"
,New York Tuition Assistance Program New York State Higher Education Services Corporation,"Up to $5,665",Varies,See Details,
"Description The New York Tuition Assistance Program is open to full - time undergraduate students who reside and attend school in New York. You must have at least a ""C"" average and be charged at least $200 for tuition per year to be considered for this award. View Scholarship Details","Description The New York Tuition Assistance Program is open to full - time undergraduate students who reside and attend school in New York. You must have at least a ""C"" average and be charged at least $200 for tuition per year to be considered for this award. View Scholarship Details","Description The New York Tuition Assistance Program is open to full - time undergraduate students who reside and attend school in New York. You must have at least a ""C"" average and be charged at least $200 for tuition per year to be considered for this award. View Scholarship Details","Description The New York Tuition Assistance Program is open to full - time undergraduate students who reside and attend school in New York. You must have at least a ""C"" average and be charged at least $200 for tuition per year to be considered for this award. View Scholarship Details","Description The New York Tuition Assistance Program is open to full - time undergraduate students who reside and attend school in New York. You must have at least a ""C"" average and be charged at least $200 for tuition per year to be considered for this award. View Scholarship Details",
,New York Tuition Assistance Program New York State Higher Education Services Corporation,New York Tuition Assistance Program New York State Higher Education Services Corporation,New York Tuition Assistance Program New York State Higher Education Services Corporation,New York Tuition Assistance Program New York State Higher Education Services Corporation,New York Tuition Assistance Program New York State Higher Education Services Corporation
,"award Up to $5,665","award Up to $5,665",deadline Varies,deadline Varies,deadline Varies
,See Details,See Details,See Details,See Details,See Details
"Description The New York Tuition Assistance Program is open to full - time undergraduate students who reside and attend school in New York. You must have at least a ""C"" average and be charged at least $200 for tuition per year to be considered for this award. View Scholarship Details","Description The New York Tuition Assistance Program is open to full - time undergraduate students who reside and attend school in New York. You must have at least a ""C"" average and be charged at least $200 for tuition per year to be considered for this award. View Scholarship Details","Description The New York Tuition Assistance Program is open to full - time undergraduate students who reside and attend school in New York. You must have at least a ""C"" average and be charged at least $200 for tuition per year to be considered for this award. View Scholarship Details","Description The New York Tuition Assistance Program is open to full - time undergraduate students who reside and attend school in New York. You must have at least a ""C"" average and be charged at least $200 for tuition per year to be considered for this award. View Scholarship Details","Description The New York Tuition Assistance Program is open to full - time undergraduate students who reside and attend school in New York. You must have at least a ""C"" average and be charged at least $200 for tuition per year to be considered for this award. View Scholarship Details","Description The New York Tuition Assistance Program is open to full - time undergraduate students who reside and attend school in New York. You must have at least a ""C"" average and be charged at least $200 for tuition per year to be considered for this award. View Scholarship Details"
,Don Forsyth Circle K Scholarship Community Foundation for the Greater Capital Region,"$5,200","March 16, 2026",See Details,
Description The Don Forsyth Circle K Scholarship is available to full - time students attending a college in New York State. You must be an active member in good standing of your college's Circle K club and demonstrate exceptional community service to qualify for this award. View Scholarship Details,Description The Don Forsyth Circle K Scholarship is available to full - time students attending a college in New York State. You must be an active member in good standing of your college's Circle K club and demonstrate exceptional community service to qualify for this award. View Scholarship Details,Description The Don Forsyth Circle K Scholarship is available to full - time students attending a college in New York State. You must be an active member in good standing of your college's Circle K club and demonstrate exceptional community service to qualify for this award. View Scholarship Details,Description The Don Forsyth Circle K Scholarship is available to full - time students attending a college in New York State. You must be an active member in good standing of your college's Circle K club and demonstrate exceptional community service to qualify for this award. View Scholarship Details,Description The Don Forsyth Circle K Scholarship is available to full - time students attending a college in New York State. You must be an active member in good standing of your college's Circle K club and demonstrate exceptional community service to qualify for this award. View Scholarship Details,
,Don Forsyth Circle K Scholarship Community Foundation for the Greater Capital Region,Don Forsyth Circle K Scholarship Community Foundation for the Greater Capital Region,Don Forsyth Circle K Scholarship Community Foundation for the Greater Capital Region,Don Forsyth Circle K Scholarship Community Foundation for the Greater Capital Region,Don Forsyth Circle K Scholarship Community Foundation for the Greater Capital Region
,"award $5,200","award $5,200","deadline March 16, 2026","deadline March 16, 2026","deadline March 16, 2026"
,See Details,See Details,See Details,See Details,See Details
Description The Don Forsyth Circle K Scholarship is available to full - time students attending a college in New York State. You must be an active member in good standing of your college's Circle K club and demonstrate exceptional community service to qualify for this award. View Scholarship Details,Description The Don Forsyth Circle K Scholarship is available to full - time students attending a college in New York State. You must be an active member in good standing of your college's Circle K club and demonstrate exceptional community service to qualify for this award. View Scholarship Details,Description The Don Forsyth Circle K Scholarship is available to full - time students attending a college in New York State. You must be an active member in good standing of your college's Circle K club and demonstrate exceptional community service to qualify for this award. View Scholarship Details,Description The Don Forsyth Circle K Scholarship is available to full - time students attending a college in New York State. You must be an active member in good standing of your college's Circle K club and demonstrate exceptional community service to qualify for this award. View Scholarship Details,Description The Don Forsyth Circle K Scholarship is available to full - time students attending a college in New York State. You must be an active member in good standing of your college's Circle K club and demonstrate exceptional community service to qualify for this award. View Scholarship Details,Description The Don Forsyth Circle K Scholarship is available to full - time students attending a college in New York State. You must be an active member in good standing of your college's Circle K club and demonstrate exceptional community service to qualify for this award. View Scholarship Details
,Ernest Morgan Memorial Scholarship Central Minnesota Community Foundation,"$5,000","March 01, 2026",See Details,
"Description The Ernest Morgan Memorial Scholarship is available to graduating students from the following high schools: Apollo, Cathedral, Technical, Area Learning Center, Foley, Sartell, Sauk Rapids, St. John's Preparatory, Annandale, Sauk Centre, Holdingford, Albany, Elk RIver, Monticello and Melrose. You must plan to attend a four year college outside... View Scholarship Details","Description The Ernest Morgan Memorial Scholarship is available to graduating students from the following high schools: Apollo, Cathedral, Technical, Area Learning Center, Foley, Sartell, Sauk Rapids, St. John's Preparatory, Annandale, Sauk Centre, Holdingford, Albany, Elk RIver, Monticello and Melrose. You must plan to attend a four year college outside... View Scholarship Details","Description The Ernest Morgan Memorial Scholarship is available to graduating students from the following high schools: Apollo, Cathedral, Technical, Area Learning Center, Foley, Sartell, Sauk Rapids, St. John's Preparatory, Annandale, Sauk Centre, Holdingford, Albany, Elk RIver, Monticello and Melrose. You must plan to attend a four year college outside... View Scholarship Details","Description The Ernest Morgan Memorial Scholarship is available to graduating students from the following high schools: Apollo, Cathedral, Technical, Area Learning Center, Foley, Sartell, Sauk Rapids, St. John's Preparatory, Annandale, Sauk Centre, Holdingford, Albany, Elk RIver, Monticello and Melrose. You must plan to attend a four year college outside... View Scholarship Details","Description The Ernest Morgan Memorial Scholarship is available to graduating students from the following high schools: Apollo, Cathedral, Technical, Area Learning Center, Foley, Sartell, Sauk Rapids, St. John's Preparatory, Annandale, Sauk Centre, Holdingford, Albany, Elk RIver, Monticello and Melrose. You must plan to attend a four year college outside... View Scholarship Details",
,Ernest Morgan Memorial Scholarship Central Minnesota Community Foundation,Ernest Morgan Memorial Scholarship Central Minnesota Community Foundation,Ernest Morgan Memorial Scholarship Central Minnesota Community Foundation,Ernest Morgan Memorial Scholarship Central Minnesota Community Foundation,Ernest Morgan Memorial Scholarship Central Minnesota Community Foundation
,"award $5,000","award $5,000","deadline March 01, 2026","deadline March 01, 2026","deadline March 01, 2026"
,See Details,See Details,See Details,See Details,See Details
"Description The Ernest Morgan Memorial Scholarship is available to graduating students from the following high schools: Apollo, Cathedral, Technical, Area Learning Center, Foley, Sartell, Sauk Rapids, St. John's Preparatory, Annandale, Sauk Centre, Holdingford, Albany, Elk RIver, Monticello and Melrose. You must plan to attend a four year college outside... View Scholarship Details","Description The Ernest Morgan Memorial Scholarship is available to graduating students from the following high schools: Apollo, Cathedral, Technical, Area Learning Center, Foley, Sartell, Sauk Rapids, St. John's Preparatory, Annandale, Sauk Centre, Holdingford, Albany, Elk RIver, Monticello and Melrose. You must plan to attend a four year college outside... View Scholarship Details","Description The Ernest Morgan Memorial Scholarship is available to graduating students from the following high schools: Apollo, Cathedral, Technical, Area Learning Center, Foley, Sartell, Sauk Rapids, St. John's Preparatory, Annandale, Sauk Centre, Holdingford, Albany, Elk RIver, Monticello and Melrose. You must plan to attend a four year college outside... View Scholarship Details","Description The Ernest Morgan Memorial Scholarship is available to graduating students from the following high schools: Apollo, Cathedral, Technical, Area Learning Center, Foley, Sartell, Sauk Rapids, St. John's Preparatory, Annandale, Sauk Centre, Holdingford, Albany, Elk RIver, Monticello and Melrose. You must plan to attend a four year college outside... View Scholarship Details","Description The Ernest Morgan Memorial Scholarship is available to graduating students from the following high schools: Apollo, Cathedral, Technical, Area Learning Center, Foley, Sartell, Sauk Rapids, St. John's Preparatory, Annandale, Sauk Centre, Holdingford, Albany, Elk RIver, Monticello and Melrose. You must plan to attend a four year college outside... View Scholarship Details","Description The Ernest Morgan Memorial Scholarship is available to graduating students from the following high schools: Apollo, Cathedral, Technical, Area Learning Center, Foley, Sartell, Sauk Rapids, St. John's Preparatory, Annandale, Sauk Centre, Holdingford, Albany, Elk RIver, Monticello and Melrose. You must plan to attend a four year college outside... View Scholarship Details"
,Milton Fisher Scholarship for Innovation and Creativity Renee B. Fisher Foundation,"Up to $20,000","May 15, 2026",See Details,
Description The Milton Fisher Scholarship for Innovation and Creativity is available to high school seniors and first - time college freshmen who demonstrate exceptional innovation and creativity. You must reside or plan to attend school in Connecticut or the New York City metropolitan area to be eligible for this award. View Scholarship Details,Description The Milton Fisher Scholarship for Innovation and Creativity is available to high school seniors and first - time college freshmen who demonstrate exceptional innovation and creativity. You must reside or plan to attend school in Connecticut or the New York City metropolitan area to be eligible for this award. View Scholarship Details,Description The Milton Fisher Scholarship for Innovation and Creativity is available to high school seniors and first - time college freshmen who demonstrate exceptional innovation and creativity. You must reside or plan to attend school in Connecticut or the New York City metropolitan area to be eligible for this award. View Scholarship Details,Description The Milton Fisher Scholarship for Innovation and Creativity is available to high school seniors and first - time college freshmen who demonstrate exceptional innovation and creativity. You must reside or plan to attend school in Connecticut or the New York City metropolitan area to be eligible for this award. View Scholarship Details,Description The Milton Fisher Scholarship for Innovation and Creativity is available to high school seniors and first - time college freshmen who demonstrate exceptional innovation and creativity. You must reside or plan to attend school in Connecticut or the New York City metropolitan area to be eligible for this award. View Scholarship Details,
,Milton Fisher Scholarship for Innovation and Creativity Renee B. Fisher Foundation,Milton Fisher Scholarship for Innovation and Creativity Renee B. Fisher Foundation,Milton Fisher Scholarship for Innovation and Creativity Renee B. Fisher Foundation,Milton Fisher Scholarship for Innovation and Creativity Renee B. Fisher Foundation,Milton Fisher Scholarship for Innovation and Creativity Renee B. Fisher Foundation
,"award Up to $20,000","award Up to $20,000","deadline May 15, 2026","deadline May 15, 2026","deadline May 15, 2026"
,See Details,See Details,See Details,See Details,See Details
Description The Milton Fisher Scholarship for Innovation and Creativity is available to high school seniors and first - time college freshmen who demonstrate exceptional innovation and creativity. You must reside or plan to attend school in Connecticut or the New York City metropolitan area to be eligible for this award. View Scholarship Details,Description The Milton Fisher Scholarship for Innovation and Creativity is available to high school seniors and first - time college freshmen who demonstrate exceptional innovation and creativity. You must reside or plan to attend school in Connecticut or the New York City metropolitan area to be eligible for this award. View Scholarship Details,Description The Milton Fisher Scholarship for Innovation and Creativity is available to high school seniors and first - time college freshmen who demonstrate exceptional innovation and creativity. You must reside or plan to attend school in Connecticut or the New York City metropolitan area to be eligible for this award. View Scholarship Details,Description The Milton Fisher Scholarship for Innovation and Creativity is available to high school seniors and first - time college freshmen who demonstrate exceptional innovation and creativity. You must reside or plan to attend school in Connecticut or the New York City metropolitan area to be eligible for this award. View Scholarship Details,Description The Milton Fisher Scholarship for Innovation and Creativity is available to high school seniors and first - time college freshmen who demonstrate exceptional innovation and creativity. You must reside or plan to attend school in Connecticut or the New York City metropolitan area to be eligible for this award. View Scholarship Details,Description The Milton Fisher Scholarship for Innovation and Creativity is available to high school seniors and first - time college freshmen who demonstrate exceptional innovation and creativity. You must reside or plan to attend school in Connecticut or the New York City metropolitan area to be eligible for this award. View Scholarship Details
,Capital Region Advertising Federation (CRAF) Scholarship Community Foundation for the Greater Capital Region,"Up to $3,500","March 16, 2026",See Details,
Description The Capital Region Advertising Federation (CRAF) Scholarship is available to students from the Capital Region who will be enrolled in a local - area accredited four - year college or university. You must be majoring in a communications - related field to qualify for this award. View Scholarship Details,Description The Capital Region Advertising Federation (CRAF) Scholarship is available to students from the Capital Region who will be enrolled in a local - area accredited four - year college or university. You must be majoring in a communications - related field to qualify for this award. View Scholarship Details,Description The Capital Region Advertising Federation (CRAF) Scholarship is available to students from the Capital Region who will be enrolled in a local - area accredited four - year college or university. You must be majoring in a communications - related field to qualify for this award. View Scholarship Details,Description The Capital Region Advertising Federation (CRAF) Scholarship is available to students from the Capital Region who will be enrolled in a local - area accredited four - year college or university. You must be majoring in a communications - related field to qualify for this award. View Scholarship Details,Description The Capital Region Advertising Federation (CRAF) Scholarship is available to students from the Capital Region who will be enrolled in a local - area accredited four - year college or university. You must be majoring in a communications - related field to qualify for this award. View Scholarship Details,
,Capital Region Advertising Federation (CRAF) Scholarship Community Foundation for the Greater Capital Region,Capital Region Advertising Federation (CRAF) Scholarship Community Foundation for the Greater Capital Region,Capital Region Advertising Federation (CRAF) Scholarship Community Foundation for the Greater Capital Region,Capital Region Advertising Federation (CRAF) Scholarship Community Foundation for the Greater Capital Region,Capital Region Advertising Federation (CRAF) Scholarship Community Foundation for the Greater Capital Region
,"award Up to $3,500","award Up to $3,500","deadline March 16, 2026","deadline March 16, 2026","deadline March 16, 2026"
,See Details,See Details,See Details,See Details,See Details
Description The Capital Region Advertising Federation (CRAF) Scholarship is available to students from the Capital Region who will be enrolled in a local - area accredited four - year college or university. You must be majoring in a communications - related field to qualify for this award. View Scholarship Details,Description The Capital Region Advertising Federation (CRAF) Scholarship is available to students from the Capital Region who will be enrolled in a local - area accredited four - year college or university. You must be majoring in a communications - related field to qualify for this award. View Scholarship Details,Description The Capital Region Advertising Federation (CRAF) Scholarship is available to students from the Capital Region who will be enrolled in a local - area accredited four - year college or university. You must be majoring in a communications - related field to qualify for this award. View Scholarship Details,Description The Capital Region Advertising Federation (CRAF) Scholarship is available to students from the Capital Region who will be enrolled in a local - area accredited four - year college or university. You must be majoring in a communications - related field to qualify for this award. View Scholarship Details,Description The Capital Region Advertising Federation (CRAF) Scholarship is available to students from the Capital Region who will be enrolled in a local - area accredited four - year college or university. You must be majoring in a communications - related field to qualify for this award. View Scholarship Details,Description The Capital Region Advertising Federation (CRAF) Scholarship is available to students from the Capital Region who will be enrolled in a local - area accredited four - year college or university. You must be majoring in a communications - related field to qualify for this award. View Scholarship Details
,Carol De Forest Forensic Science Research Grant Northeastern Association of Forensic Scientists,"Up to $2,500","April 30, 2026",See Details,
"Description The Carol De Forest Forensic Science Research Grant is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must be enrolled at an institution in Maine, New Hampshire, Vermont, Rhode Island, Massachusetts, New... View Scholarship Details","Description The Carol De Forest Forensic Science Research Grant is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must be enrolled at an institution in Maine, New Hampshire, Vermont, Rhode Island, Massachusetts, New... View Scholarship Details","Description The Carol De Forest Forensic Science Research Grant is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must be enrolled at an institution in Maine, New Hampshire, Vermont, Rhode Island, Massachusetts, New... View Scholarship Details","Description The Carol De Forest Forensic Science Research Grant is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must be enrolled at an institution in Maine, New Hampshire, Vermont, Rhode Island, Massachusetts, New... View Scholarship Details","Description The Carol De Forest Forensic Science Research Grant is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must be enrolled at an institution in Maine, New Hampshire, Vermont, Rhode Island, Massachusetts, New... View Scholarship Details",
,Carol De Forest Forensic Science Research Grant Northeastern Association of Forensic Scientists,Carol De Forest Forensic Science Research Grant Northeastern Association of Forensic Scientists,Carol De Forest Forensic Science Research Grant Northeastern Association of Forensic Scientists,Carol De Forest Forensic Science Research Grant Northeastern Association of Forensic Scientists,Carol De Forest Forensic Science Research Grant Northeastern Association of Forensic Scientists
,"award Up to $2,500","award Up to $2,500","deadline April 30, 2026","deadline April 30, 2026","deadline April 30, 2026"
,See Details,See Details,See Details,See Details,See Details
"Description The Carol De Forest Forensic Science Research Grant is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must be enrolled at an institution in Maine, New Hampshire, Vermont, Rhode Island, Massachusetts, New... View Scholarship Details","Description The Carol De Forest Forensic Science Research Grant is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must be enrolled at an institution in Maine, New Hampshire, Vermont, Rhode Island, Massachusetts, New... View Scholarship Details","Description The Carol De Forest Forensic Science Research Grant is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must be enrolled at an institution in Maine, New Hampshire, Vermont, Rhode Island, Massachusetts, New... View Scholarship Details","Description The Carol De Forest Forensic Science Research Grant is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must be enrolled at an institution in Maine, New Hampshire, Vermont, Rhode Island, Massachusetts, New... View Scholarship Details","Description The Carol De Forest Forensic Science Research Grant is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must be enrolled at an institution in Maine, New Hampshire, Vermont, Rhode Island, Massachusetts, New... View Scholarship Details","Description The Carol De Forest Forensic Science Research Grant is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must be enrolled at an institution in Maine, New Hampshire, Vermont, Rhode Island, Massachusetts, New... View Scholarship Details"
,George W. Chin Memorial Scholarship Northeastern Association of Forensic Scientists,"$2,000","April 30, 2026",See Details,
"Description The George W. Chin Memorial Scholarship is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must demonstrate academic excellence in your program and be enrolled at an institution in Maine, New Hampshire,... View Scholarship Details","Description The George W. Chin Memorial Scholarship is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must demonstrate academic excellence in your program and be enrolled at an institution in Maine, New Hampshire,... View Scholarship Details","Description The George W. Chin Memorial Scholarship is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must demonstrate academic excellence in your program and be enrolled at an institution in Maine, New Hampshire,... View Scholarship Details","Description The George W. Chin Memorial Scholarship is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must demonstrate academic excellence in your program and be enrolled at an institution in Maine, New Hampshire,... View Scholarship Details","Description The George W. Chin Memorial Scholarship is available to full-time junior and senior-level undergraduate students and to graduate students who are majoring in forensic science or a related field. To be considered for this award, you must demonstrate academic excellence in your program and be enrolled at an institution in Maine, New Hampshire,... View Scholarship Details",
,George W. Chin Memorial Scholarship Northeastern Association of Forensic Scientists,George W. Chin Memorial Scholarship Northeastern Association of Forensic Scientists,George W. Chin Memorial Scholarship Northeastern Association of Forensic Scientists,George W. Chin Memorial Scholarship Northeastern Association of Forensic Scientists,George W. Chin Memorial Scholarship Northeastern Association of Forensic Scientists
,"award $2,000","award $2,000","deadline April 30, 2026","deadline April 30, 2026","deadline April 30, 2026"
,See Details,See Details,See Details,See Details,See Details
